Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Bock_1,Bock_2,Bock_3,Abk_1,Abk_2,Abk_3
Q01130,J3KP15;J3QL05;Q01130-2;Q01130,SRSF2_HUMAN,SRSF2,Serine/arginine-rich splicing factor 2,6,8653560,13096600,8306590,8104280,6595870,4611990
P51991,P51991-2;P51991,ROA3_HUMAN,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,12,10962100,6940840,7677030,9240870,7651700,6587110
P62280,M0QZC5;M0R1H6;P62280,RS11_HUMAN,RPS11,40S ribosomal protein S11,13,8445550,7700700,8279130,9208290,6847190,7300780
Q13242,Q13242,SRSF9_HUMAN,SRSF9,Serine/arginine-rich splicing factor 9,17,8325550,11502400,7506190,7827240,6287230,6230920
P36578,H3BM89;P36578,RL4_HUMAN,RPL4,60S ribosomal protein L4,12,6120590,5703140,6990950,10261600,7268010,10981200
Q86U42;Q92843-2,A6NDY0-2;A6NDY0-4;B4DEH8;G3V4T2;Q86U42-2;Q92843-2;A6NDY0;Q86U42,B2CL2-2_HUMAN;PABP2_HUMAN,BCL2L2;PABPN1,Polyadenylate-binding protein 2,12,10198300,7535970,5669690,8157810,6706140,8069480
P11021,P11021,BIP_HUMAN,HSPA5,Endoplasmic reticulum chaperone BiP,30,7575500,6224490,7239930,8223830,8823560,7918350
O75170;O75170-2;O75170-3;O75170-4;O75170-5;O75170-6,A0A0A0MSJ8;O75170-2;O75170-3;O75170-4;O75170-5;O75170-6;T1ECW5;O75170,PP6R2-2_HUMAN;PP6R2-3_HUMAN;PP6R2-4_HUMAN;PP6R2-5_HUMAN;PP6R2-6_HUMAN;PP6R2_HUMAN,PPP6R2,Serine/threonine-protein phosphatase 6 regulatory subunit 2,1,6167270,9733620,11439400,1653820,6505630,9615350
P22528;P35321,P22528;P35321,SPR1A_HUMAN;SPR1B_HUMAN,SPRR1A;SPRR1B,Cornifin-B,3,7289090,11912300,8966320,1468140,5832190,9001670
P62888,A0A0B4J213;A0A0C4DH44;E5RI99;P62888,RL30_HUMAN,RPL30,60S ribosomal protein L30,9,6991930,4275000,4279100,6891850,9514540,11846200
Q9BZL1,K7EQ43;Q9BZL1,UBL5_HUMAN,UBL5,Ubiquitin-like protein 5,4,8750290,7154860,6211730,6337380,6266190,8704390
Q9UQ35,I3L182;I3L4D8;Q9UQ35-2;Q9UQ35,SRRM2_HUMAN,SRRM2,Serine/arginine repetitive matrix protein 2,85,6777130,8525450,8420140,7812630,6293780,4815770
P26373,H3BUK8;J3KS98;P26373-2;P26373,RL13_HUMAN,RPL13,60S ribosomal protein L13,12,4425330,4519400,5404390,9193830,8058640,10217300
Q15029;Q15029-2,Q15029-2;Q15029-3;Q15029,U5S1-2_HUMAN;U5S1_HUMAN,EFTUD2,116 kDa U5 small nuclear ribonucleoprotein component,41,7908780,8503680,8999220,5426680,4332860,5780390
P62273,A0A087WTT6;A0A2R8Y6P7;A0A2R8Y851;P62273-2;P62273,RS29_HUMAN,RPS29,40S ribosomal protein S29,4,6595490,6598170,8853360,6333020,7083120,5487520
Q14103;Q14103-3,H0Y8G5;H0YA96;Q14103-2;Q14103-3;Q14103-4;Q14103,HNRPD-3_HUMAN;HNRPD_HUMAN,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0,12,9977810,5001830,5593620,7513520,7101480,5629550
A0A075B6S2;A0A0A0MRZ7;A2NJV5,A0A075B6R9;A0A075B6S2;A0A0A0MRZ7;A0A0C4DH68;A2NJV5,KV229_HUMAN;KVD26_HUMAN;KVD29_HUMAN,IGKV2-29;IGKV2D-26;IGKV2D-29,Immunoglobulin kappa variable 2D-29,2,4564060,6636700,5909730,7206980,7419340,9042810
Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4,A0A087X1B7;Q9Y3Y2-3;Q9Y3Y2-4;X6R700;Q9Y3Y2,CHTOP-3_HUMAN;CHTOP-4_HUMAN;CHTOP_HUMAN,CHTOP,Chromatin target of PRMT1 protein,8,7319320,7071110,7274500,6444930,3849510,8482900
Q5T750,Q5T750,XP32_HUMAN,XP32,Skin-specific protein 32,10,8469010,12280500,9554900,1562870,2821180,5679300
P62857,P62857,RS28_HUMAN,RPS28,40S ribosomal protein S28,3,4774410,5197740,4335400,6626570,7913090,10932600
P22532,P22531;P22532;P35325;P35326;Q9BYE4,SPR2D_HUMAN,SPRR2D,Small proline-rich protein 2D,3,3839180,10685800,10911200,1581170,5517870,7090880
P62701,P62701;Q8TD47,RS4X_HUMAN,RPS4X,"40S ribosomal protein S4, X isoform",17,6258800,5932640,6179100,7872390,6469570,6413110
P47914,A0A3B3ITT5;P47914,RL29_HUMAN,RPL29,60S ribosomal protein L29,2,4757030,3925990,4433970,10279400,5713350,9562850
P61247,D6RI02;E9PFI5;H0Y8L7;H0Y9Y4;P61247,RS3A_HUMAN,RPS3A,40S ribosomal protein S3a,20,5363450,4163950,4650170,8501200,8509290,6678560
P17844;P17844-2,J3KRX8;J3KTA4;J3KTQ4;J3QR02;J3QRQ7;P17844-2;X6RLV5;P17844,DDX5-2_HUMAN;DDX5_HUMAN,DDX5,Probable ATP-dependent RNA helicase DDX5,29,7070230,7869580,7464190,5754020,3960640,5685630
Q15517,G8JLG2;Q2L6G8;Q15517,CDSN_HUMAN,CDSN,Corneodesmosin,7,12182700,5526790,8637050,1178060,4247760,5561960
P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1,A0A0U1RR32;H0YFX9;A0A0U1RRH7;P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1,H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2AJ_HUMAN,H2AFJ;HIST1H2AD;HIST1H2AH;HIST1H2AJ;HIST1H2AM;HIST2H2AA4;HIST2H2AC,Histone H2A type 1,4,18093600,6617830,1730450,2869510,325847,6994130
P83731,C9JNW5;C9JXB8;P83731,RL24_HUMAN,RPL24,60S ribosomal protein L24,10,5275470,5033190,5439040,7221120,4993650,8349330
P09012,M0QXK2;M0QZG7;M0R221;M0R268;M0R2B8;P09012,SNRPA_HUMAN,SNRPA,U1 small nuclear ribonucleoprotein A,6,5063630,3901310,4693640,7391060,7808390,7000800
Q5T7N2,Q5T7N2,LITD1_HUMAN,L1TD1,LINE-1 type transposase domain-containing protein 1,52,7439920,7187470,9158200,4781370,2904630,4312670
P17066,P17066;P48741,HSP76_HUMAN,HSPA6,Heat shock 70 kDa protein 6,2,5618030,4406640,5240320,6448250,7167680,5985030
P62826,B4DV51;B5MDF5;F5H018;J3KQE5;P62826,RAN_HUMAN,RAN,GTP-binding nuclear protein Ran,7,5343050,4926510,5315450,6749230,6439640,5448220
P22087,M0QXL5;M0R0P1;M0R1H0;M0R299;M0R2B0;M0R2Q4;M0R2U2;P22087,FBRL_HUMAN,FBL,rRNA 2'-O-methyltransferase fibrillarin,10,3551770,3652580,3447430,8223000,7788290,7349570
Q86V81,E9PB61;Q86V81,THOC4_HUMAN,ALYREF,THO complex subunit 4,10,6907020,5477880,3554470,6270550,3727770,7987590
Q13573,G3V3A4;G3V4X8;Q13573,SNW1_HUMAN,SNW1,SNW domain-containing protein 1,26,5357220,4111920,4308600,6163610,8935740,5033690
Q96DI7,Q96DI7-2;Q9NSS8;Q96DI7,SNR40_HUMAN,SNRNP40,U5 small nuclear ribonucleoprotein 40 kDa protein,17,5250500,4233140,3998350,6726310,7897920,5721630
P08579,P08579,RU2B_HUMAN,SNRPB2,U2 small nuclear ribonucleoprotein B'',10,5582370,4166660,4539920,6723320,6834230,5958150
P52298,B3KSB0;C9JQX9;P52298-2;P52298-3;P52298,NCBP2_HUMAN,NCBP2,Nuclear cap-binding protein subunit 2,8,4350490,4352750,3072490,6410060,9111300,6390670
Q9Y383,A0A0A6YYJ8;Q96HJ9-2;Q9Y383-2;Q9Y383-3;Q9Y383,LC7L2_HUMAN,LUC7L2,Putative RNA-binding protein Luc7-like 2,12,6325130,7146460,7390060,5830810,3932650,3013420
Q96HC4,H0YBI4;Q96HC4-2;Q96HC4-3;Q96HC4-4;Q96HC4-6;Q96HC4-7;Q96HC4,PDLI5_HUMAN,PDLIM5,PDZ and LIM domain protein 5,24,5117220,4492020,4378920,6395220,6082310,6864950
P42677,C9JLI6;H0YMV8;P42677;Q71UM5,RS27_HUMAN,RPS27,40S ribosomal protein S27,4,6053740,4629390,3778770,7397810,4647550,6800160
P62266,P62266,RS23_HUMAN,RPS23,40S ribosomal protein S23,6,5771740,4811630,4212220,8079490,4709950,5560530
Q7RTV0,Q7RTV0,PHF5A_HUMAN,PHF5A,PHD finger-like domain-containing protein 5A,10,6100740,5923030,5675440,4699210,3943000,6800270
Q562R1,Q562R1,ACTBL_HUMAN,ACTBL2,Beta-actin-like protein 2,1,,7600570,8466210,,7480980,8817370
Q9Y3C6,Q9Y3C6,PPIL1_HUMAN,PPIL1,Peptidyl-prolyl cis-trans isomerase-like 1,9,4437400,4192720,3937620,6033840,7502530,5831150
Q06830,A0A0A0MSI0;Q06830,PRDX1_HUMAN,PRDX1,Peroxiredoxin-1,13,6435270,4729100,5116030,4247750,5711830,5622780
P62306,A0A0B4J254;F8W0W6;P62306,RUXF_HUMAN,SNRPF,Small nuclear ribonucleoprotein F,5,4933140,4787100,3620960,5956130,6191020,6360990
Q8WZ42-12,A0A0A0MTS7;Q8WZ42-12,TITIN-12_HUMAN,TTN,"Isoform of Q8WZ42, Isoform 12 of Titin",2,4662320,3646730,4307210,7055750,4486660,7534330
Q9Y5V0,Q9Y5V0,ZN706_HUMAN,ZNF706,Zinc finger protein 706,3,6156920,2098500,3747360,4154090,2877320,12566700
O75533,O75533,SF3B1_HUMAN,SF3B1,Splicing factor 3B subunit 1,42,7044250,5916710,8573160,3967900,2645970,3299660
Q9BQE3,A0A1W2PQM2;A6NHL2-2;F5H5D3;P68363-2;P68366-2;Q71U36-2;A6NHL2;P68363;P68366;Q71U36;Q9BQE3,TBA1C_HUMAN,TUBA1C,Tubulin alpha-1C chain,15,4473000,4997290,5601210,5862390,4675270,5830580
P46776,E9PLL6;P46776,RL27A_HUMAN,RPL27A,60S ribosomal protein L27a,5,4178980,5017580,5180150,5715230,5314790,5959650
Q08554-2,Q08554-2;Q08554,DSC1-2_HUMAN,DSC1,"Isoform of Q08554, Isoform 1B of Desmocollin-1",21,10197000,4821630,6600220,981459,3590200,4571610
Q9NW64,Q9NW64-2;Q9NW64,RBM22_HUMAN,RBM22,Pre-mRNA-splicing factor RBM22,19,4747350,3326530,3458850,6045810,7886910,5187320
P50914,E7EPB3;P50914,RL14_HUMAN,RPL14,60S ribosomal protein L14,5,4662150,3606360,4496990,6437330,4201750,7242140
Q6UN15;Q6UN15-4;Q6UN15-5,Q6UN15-3;Q6UN15-4;Q6UN15-5;A0A0B4J203;Q6UN15,FIP1-4_HUMAN;FIP1-5_HUMAN;FIP1_HUMAN,FIP1L1,Pre-mRNA 3'-end-processing factor FIP1,8,4157890,4456680,7009150,5094230,5599810,4150580
Q12905,B4DY09;Q12905,ILF2_HUMAN,ILF2,Interleukin enhancer-binding factor 2,14,6767040,4801790,4555650,4847490,3627480,5733920
P11940,A0A087WTT1;E7EQV3;E7ERJ7;H0YAP2;H0YAR2;P11940-2;Q4VXU2-2;P11940;Q4VXU2,PABP1_HUMAN,PABPC1,Polyadenylate-binding protein 1,33,5674100,4957430,4505170,5471170,4208600,5498080
Q15717;Q15717-2,M0QZR9;M0R055;Q15717-2;Q15717,ELAV1-2_HUMAN;ELAV1_HUMAN,ELAVL1,ELAV-like protein 1,13,5640610,4928820,5632130,5134080,4630080,4263110
P0DN76;Q01081,Q01081-2;Q01081-4;P0DN76;Q01081,U2AF1_HUMAN;U2AF5_HUMAN,U2AF1;U2AF1L5,Splicing factor U2AF 35 kDa subunit-like protein,6,5548740,6458400,7597900,4317490,3207010,2656470
P31943,E9PCY7;G8JLB6;H0YB39;H0YBD7;H0YBG7;P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H,16,7694680,5993900,4680180,4037810,3089950,4221650
O43809,O43809,CPSF5_HUMAN,NUDT21,Cleavage and polyadenylation specificity factor subunit 5,13,6097850,3234790,2519840,6332470,4976030,6095700
Q13435,E9PPJ0;H0YEX5;Q13435,SF3B2_HUMAN,SF3B2,Splicing factor 3B subunit 2,28,5406850,3913850,6061010,5061940,4966540,3528890
Q969Q0,H0Y5B4;J3KQN4;H7BZ11;P83881;Q969Q0,RL36L_HUMAN,RPL36AL,60S ribosomal protein L36a-like,5,5053560,4674900,4198880,6905770,3485200,4605200
P61978-2;P61978-3,P61978-2;P61978-3;Q5T6W2;P61978,HNRPK-2_HUMAN;HNRPK-3_HUMAN,HNRNPK,"Isoform of P61978, Isoform 2 of Heterogeneous nuclear ribonucleoprotein K",20,5656770,4655040,6338650,4478960,3968380,3786860
P62081,A0A2R8Y623;B5MCP9;P62081,RS7_HUMAN,RPS7,40S ribosomal protein S7,12,4251360,2419840,2867510,6943040,8214520,4073940
Q9NZI8,Q9NZI8,IF2B1_HUMAN,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,26,4565900,3247040,4230520,5929190,6155120,4570450
O60568,H7C2V1;O60568,PLOD3_HUMAN,PLOD3,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,26,5975200,6205220,7235220,4273340,2993720,1988360
P62987,B4DV12;F5GXK7;F5GYU3;F5H265;F5H2Z3;F5H388;F5H6Q2;F5H747;J3QKN0;J3QS39;J3QTR3;M0R1M6;M0R1V7;M0R2S1;Q49A90;Q5PY61;Q96C32;A0A2R8Y422;P0CG47;P0CG48;P62979;P62987,RL40_HUMAN,UBA52,Ubiquitin-60S ribosomal protein L40,5,6869360,4995950,5357880,3394560,2407510,5270780
P15924,P15924-2;P15924-3;P15924,DESP_HUMAN,DSP,Desmoplakin,118,4419790,5891330,4900610,1174390,5258750,6615330
P17096,A0A1W2PRV2;P17096-2;P17096-3;P17096,HMGA1_HUMAN,HMGA1,High mobility group protein HMG-I/HMG-Y,5,3307360,2254730,7517500,5394480,4727670,4699230
P23490,P23490,LORI_HUMAN,LOR,Loricrin,3,6346530,7582440,6271790,1143040,2457710,4006400
O60911,O60911,CATL2_HUMAN,CTSV,Cathepsin L2,15,4511350,2041520,3106440,4466220,5842850,7729620
