Protein.Group,Protein.Ids,Protein.Names,Genes,Peptides,First.Protein.Description,NanogAbk_1,NanogAbk_2,NanogAbk_3,NanogBock_1,NanogBock_2,NanogBock_3,TBPAbk_1,TBPAbk_2,TBPAbk_3,TBPBock_1,TBPBock_2,TBPBock_3
Q96FQ6,Q96FQ6,S10AG_HUMAN,S100A16,2,Protein S100-A16,17067400,10642600,13685900,56742100,36691900,23507400,13073400,21361700,27502000,53298300,49566500,29109400
P25789,H0YL69;H0YMZ1;H0YN18;P25789-2;P25789,PSA4_HUMAN,PSMA4,9,Proteasome subunit alpha type-4,27888800,26008100,26625500,16920000,14038500,16275800,39338300,33321800,36031400,27256100,26822500,26766900
P62899,B7Z4C8;B7Z4E3;B8ZZK4;C9JU56;H7C2W9;P62899-2;P62899-3;P62899,RL31_HUMAN,RPL31,6,60S ribosomal protein L31,21992900,24517500,21943300,19791100,20759000,26003400,27025600,33487400,34453100,25852200,24771300,23455200
P23284,P23284,PPIB_HUMAN,PPIB,11,Peptidyl-prolyl cis-trans isomerase B,18581800,22068900,18087400,27269600,28215400,26826900,21457400,27394100,25896600,15265900,23054600,21242600
Q16629;Q16629-4,H7BZZ6;Q16629-4;Q16629,SRSF7-4_HUMAN;SRSF7_HUMAN,SRSF7,11,Serine/arginine-rich splicing factor 7,23163300,23997400,22933800,25103000,25798300,24519800,22282200,24755500,21437000,16685600,17481500,15501500
Q5T750,Q5T750,XP32_HUMAN,XP32,11,Skin-specific protein 32,14641200,3523410,4232780,65718600,27536900,22201600,7757460,19316700,5469260,23232800,55321700,13469800
P67809,A0A0D9SEI8;H0Y449;P16989-2;P16989-3;P16989;P67809;Q9Y2T7,YBOX1_HUMAN,YBX1,14,Nuclease-sensitive element-binding protein 1,21263100,22953700,22388300,16374100,13875800,16246800,27461200,27162500,23055700,22045500,25813000,20146900
P20618,P20618,PSB1_HUMAN,PSMB1,9,Proteasome subunit beta type-1,22288900,19793700,23082800,14463900,12542800,12420100,27410000,27744500,27838800,22318700,20962800,18976100
P22626,A0A087WUI2;P22626-2;P22626,ROA2_HUMAN,HNRNPA2B1,19,Heterogeneous nuclear ribonucleoproteins A2/B1,15429700,18165500,14855900,25951800,24362600,22017000,17422200,19849100,17942500,20207100,25457200,23520900
O60814;P57053;P58876;P62807;Q5QNW6;Q5QNW6-2;Q93079;Q99877;Q99879,Q5QNW6-2;U3KQK0;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880,H2B1C_HUMAN;H2B1D_HUMAN;H2B1H_HUMAN;H2B1K_HUMAN;H2B1M_HUMAN;H2B1N_HUMAN;H2B2F-2_HUMAN;H2B2F_HUMAN;H2BFS_HUMAN,H2BFS;HIST1H2BD;HIST1H2BH;HIST1H2BI;HIST1H2BK;HIST1H2BM;HIST1H2BN;HIST2H2BF,6,Histone H2B type 1-K,16828400,18870700,16023800,20150100,20326400,18050700,21953600,22962800,22350400,20123000,23382000,23533400
P68431;P84243;Q16695;Q71DI3,B4DEB1;K7EK07;K7EMV3;K7EP01;K7ES00;P68431;P84243;Q16695;Q5TEC6;Q6NXT2;Q71DI3,H31T_HUMAN;H31_HUMAN;H32_HUMAN;H33_HUMAN,H3F3B;HIST1H3J;HIST2H3D;HIST3H3,4,Histone H3.1,16255400,18012100,16492300,18059100,18807700,20838700,17422000,17819600,16482400,20372100,20842600,20926500
P42766,F2Z388;P42766,RL35_HUMAN,RPL35,4,60S ribosomal protein L35,13508700,17223000,13882600,11763800,9215200,11657400,21311200,22399600,25403500,17754100,17738500,17325100
Q13247;Q13247-3,A0A0D9SEM4;A0A0D9SGD2;Q13247-2;Q13247-3;Q08170;Q13247,SRSF6-3_HUMAN;SRSF6_HUMAN,SRSF6,16,Serine/arginine-rich splicing factor 6,17790400,17702000,17041500,21722900,20963100,18263000,16066600,16989700,15443300,12345700,12530400,10633800
Q9BYE4,P22531;P22532;P35325;P35326;Q9BYE4,SPR2G_HUMAN,SPRR2G,3,Small proline-rich protein 2G,10735600,3077490,4053480,47485800,19042300,20475500,4536630,10062700,2328640,17952900,34194000,22517500
O14818,H0Y586;O14818-2;O14818,PSA7_HUMAN,PSMA7,12,Proteasome subunit alpha type-7,19259600,15746300,19728700,10298100,7243690,10300100,24521000,18205600,21112200,16523900,15328300,17226300
P60709;P63261,A0A2R8Y793;A0A2R8YGF8;E7EVS6;G5E9R0;I3L1U9;I3L3I0;I3L3R2;I3L4N8;J3KT65;K7EM38;P60709;P63261,ACTB_HUMAN;ACTG_HUMAN,ACTB;ACTG1,15,"Actin, cytoplasmic 1",19018700,18853500,19081300,17362800,15272800,14077400,17152200,15666700,14098700,13428200,14203100,15721700
Q5T749,Q5T749,KPRP_HUMAN,KPRP,21,Keratinocyte proline-rich protein,12373900,4079720,5161560,45993700,24400200,9896420,6515730,13321200,5183790,17121500,33421800,16359900
P38919,I3L3H2;P38919,IF4A3_HUMAN,EIF4A3,22,Eukaryotic initiation factor 4A-III,22288300,22393200,22616800,17988600,15108400,13306600,14571000,14487600,13390600,9486780,10226800,11021000
P68104;Q5VTE0,A0A087WV01;A0A087WVQ9;A6PW80;P68104-2;Q5JR01;P68104;Q5VTE0,EF1A1_HUMAN;EF1A3_HUMAN,EEF1A1;EEF1A1P5,12,Elongation factor 1-alpha 1,17535300,17053800,17142200,9400740,10030500,9488700,21308400,18579200,20050900,14715800,14292500,15462300
O94905,E5RHW4;E5RJ09;O94905,ERLN2_HUMAN,ERLIN2,18,Erlin-2,17158500,17325800,16759900,15090900,15709600,16607800,14781900,15244700,14772000,12755400,14576400,14124300
P60900,G3V295;G3V3I1;G3V5Z7;P60900-2;P60900-3;P60900,PSA6_HUMAN,PSMA6,13,Proteasome subunit alpha type-6,13924100,13887900,15144200,14650300,13632200,9301730,19430300,17716300,16784200,14633700,19099300,16588300
P48741,P17066;P48741,HSP77_HUMAN,HSPA7,1,Putative heat shock 70 kDa protein 7,17102800,15965600,16696000,14178700,13676300,12788800,15375100,13905300,14269100,16109700,16079400,16846700
P19338,C9J1H7;C9JLB1;C9JWL1;C9JYW2;P19338,NUCL_HUMAN,NCL,27,Nucleolin,9291380,10603900,9159950,16197800,15517800,21206900,15855900,17060500,17463400,17933400,16244100,15935400
P25786;P25786-2,F5GX11;P25786-2;P25786,PSA1-2_HUMAN;PSA1_HUMAN,PSMA1,17,Proteasome subunit alpha type-1,13202500,13828000,13324300,11375600,11030600,12629500,19575100,18027000,19185700,17524000,16445000,15882300
P11021,P11021,BIP_HUMAN,HSPA5,33,Endoplasmic reticulum chaperone BiP,19555000,18485600,18912600,13966500,13379800,9979730,15476800,13637400,12062900,12193700,15815600,16085500
Q9NYF8;Q9NYF8-2,A0A1W2PQ43;E9PJA7;E9PK09;E9PK91;E9PKI6;E9PQN2;H0YF00;Q9NYF8-2;Q9NYF8-3;Q9NYF8-4;Q9NYF8,BCLF1-2_HUMAN;BCLF1_HUMAN,BCLAF1,41,Bcl-2-associated transcription factor 1,15087100,16048500,14840200,17123900,18799200,16801500,17133900,16901400,15943000,10081400,10362500,9511690
Q15287;Q15287-2;Q15287-3,H3BMM9;H3BPG5;H3BTC0;H3BV80;Q15287-2;Q15287-3;Q15287,RNPS1-2_HUMAN;RNPS1-3_HUMAN;RNPS1_HUMAN,RNPS1,5,RNA-binding protein with serine-rich domain 1,19577500,20139100,19976900,16454600,20775700,15794800,15838100,11676600,6178870,11402700,8733860,8700970
P62805,P62805,H4_HUMAN,HIST4H4,8,Histone H4,16404600,17568700,16954500,15811400,13359000,10083100,14558700,14628000,11724300,12249700,15013700,14346700
P23396,E9PJH4;E9PK82;E9PL09;E9PPU1;E9PQ96;F2Z2S8;H0YCJ7;H0YF32;P23396-2;P23396,RS3_HUMAN,RPS3,16,40S ribosomal protein S3,17176200,15285000,16163000,9499880,8292240,8333730,18325900,17010600,16659800,13193800,16612700,15965400
P02768,A0A0C4DGB6;H0YA55;H7C013;P02768,ALBU_HUMAN,ALB,27,Serum albumin,6399030,3496690,7086620,10860800,36744600,7902090,3239220,4812750,36617900,11730100,20259500,18805200
P02538,P02538;P04259;P48668,K2C6A_HUMAN,KRT6A,22,"Keratin, type II cytoskeletal 6A",5372530,17806600,5602470,34850700,9606340,2543830,6924370,14742600,662570,13436200,33100300,22303800
P69905,P69905,HBA_HUMAN,HBA2,6,Hemoglobin subunit alpha,5952060,7286340,5567390,19273500,19476500,28679900,9781710,12122700,13638700,13654100,10508100,11970700
Q07955,J3KSR8;J3KTL2;Q07955-2;Q07955-3;Q07955,SRSF1_HUMAN,SRSF1,14,Serine/arginine-rich splicing factor 1,12315700,13562000,12169700,18662400,19588900,11537700,13209000,14261500,11736000,8025170,9578840,8967200
P28070,P28070,PSB4_HUMAN,PSMB4,3,Proteasome subunit beta type-4,10424800,10962600,10131600,9656080,10403900,10717500,14348500,15359000,16344100,11769900,13719500,13003200
P08779,P08779,K1C16_HUMAN,KRT16,20,"Keratin, type I cytoskeletal 16",10802400,17603000,6014210,33111100,10733900,2599810,7223780,11351500,697857,16662200,13107500,14433600
Q86V81,E9PB61;Q86V81,THOC4_HUMAN,ALYREF,8,THO complex subunit 4,19369300,21297400,23211400,11643100,6769110,10027000,10368500,7102820,8777520,8153640,8806110,8286130
Q9UMS4,F5GY56;Q9UMS4,PRP19_HUMAN,PRPF19,11,Pre-mRNA-processing factor 19,14849300,13984600,14143600,12925700,14122700,15627900,10715100,10242400,11603400,8959140,8187420,8293650
P38646,A0A3B3ITI4;D6RJI2;P38646,GRP75_HUMAN,HSPA9,36,"Stress-70 protein, mitochondrial",17134500,15196200,16897400,8271410,8124650,8628000,13033800,10746700,11849400,11245600,10989400,11413200
P62995;P62995-3,P62995-3;P62995,TRA2B-3_HUMAN;TRA2B_HUMAN,TRA2B,7,Transformer-2 protein homolog beta,13606400,13864300,12719200,13864900,15143400,13962200,11751200,12087000,9784080,8505690,8099620,6830330
Q9H307,Q9H307,PININ_HUMAN,PNN,30,Pinin,14023300,14511300,13784100,13087200,12459700,12194400,10815600,11500700,11118900,8961030,8676890,8339960
P62269,J3JS69;P62269,RS18_HUMAN,RPS18,12,40S ribosomal protein S18,12850100,12762400,12797000,10233900,9855360,9403100,14358300,13635500,14562900,9564260,9761880,9306180
P62318;P62318-2,P62318-2;P62318,SMD3-2_HUMAN;SMD3_HUMAN,SNRPD3,2,Small nuclear ribonucleoprotein Sm D3,24140400,17263200,24498200,8238930,6623580,4406310,9423670,11984700,7044630,7785170,10857300,6720900
P68871,A0A2R8Y7R2;F8W6P5;P68871,HBB_HUMAN,HBB,6,Hemoglobin subunit beta,4869880,6782460,6725790,20729600,19501200,15197600,7845540,9339110,8162330,17400300,8428500,9028920
O43809,O43809,CPSF5_HUMAN,NUDT21,12,Cleavage and polyadenylation specificity factor subunit 5,11183200,12184600,10384200,7444370,6701010,5515570,14105500,14888000,14071600,11250800,11894900,13017600
Q9Y3Y2;Q9Y3Y2-3;Q9Y3Y2-4,A0A087X1B7;Q9Y3Y2-3;Q9Y3Y2-4;X6R700;Q9Y3Y2,CHTOP-3_HUMAN;CHTOP-4_HUMAN;CHTOP_HUMAN,CHTOP,9,Chromatin target of PRMT1 protein,12068500,14264300,12583100,12648000,11192200,11563700,9792790,10105600,8360440,8716210,10511400,10347500
P49419-2,A0A0J9YWF7;A0A1B0GTG2;A0A1B0GTJ4;A0A1B0GTY9;A0A1B0GUA1;A0A1B0GUY0;A0A1B0GV49;A0A1B0GW77;A0A1B0GW82;P49419-2;P49419-4;P49419,AL7A1-2_HUMAN,ALDH7A1,23,"Isoform of P49419, Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase",12556100,13458600,12046700,9225540,9336430,8049140,12605200,12423300,10995000,9569210,10095600,10612900
P49721,A0A087WVV1;P49721,PSB2_HUMAN,PSMB2,7,Proteasome subunit beta type-2,11283400,11052000,11711000,9384210,7599540,4356180,15450200,14311100,10986800,10684900,11280000,12006300
P51991,P51991-2;P51991,ROA3_HUMAN,HNRNPA3,9,Heterogeneous nuclear ribonucleoprotein A3,11881500,11235800,10897700,16846900,11585600,10071800,8653100,7571160,7458910,11262300,11161200,10684000
Q15029;Q15029-2;Q15029-3,Q15029-2;Q15029-3;Q15029,U5S1-2_HUMAN;U5S1-3_HUMAN;U5S1_HUMAN,EFTUD2,32,116 kDa U5 small nuclear ribonucleoprotein component,10506500,10296800,10111100,12120600,11932900,13769200,8843880,9375970,9141210,10943000,10368800,9928770
P62277,P62277,RS13_HUMAN,RPS13,9,40S ribosomal protein S13,10141600,11050900,9953770,8369790,8998160,8308740,12711300,14300500,12363800,9175410,11367600,10395400
P47914,A0A3B3ITT5;P47914,RL29_HUMAN,RPL29,2,60S ribosomal protein L29,7156820,9007640,7224200,7597530,8986640,11249100,13383500,13480600,12951100,8934670,13901700,10218900
O43790,A0A087X106;O43790;Q14533,KRT86_HUMAN,KRT86,38,"Keratin, type II cuticular Hb6",3076260,4461500,63182600,34634000,336506,,109079,5028480,,608940,8733660,3199250
P62750,A8MUS3;H7BY10;K7EJV9;K7EMA7;K7ERT8;P62750,RL23A_HUMAN,RPL23A,9,60S ribosomal protein L23a,9022850,10093500,9570540,5670160,6479680,7597460,12620300,13890800,14356700,10347100,10770000,11253900
P25787,A0A024RA52;P25787,PSA2_HUMAN,PSMA2,7,Proteasome subunit alpha type-2,9386560,7865820,9054840,6311190,5971060,6998470,12695400,12287300,14380100,11650600,11274800,10686300
P62280,M0QZC5;M0R1H6;P62280,RS11_HUMAN,RPS11,13,40S ribosomal protein S11,9214210,8959190,8599770,6962700,7036190,6644410,10813200,10971200,11178900,9403120,10964600,11028500
P61326;Q96A72,F5H6N1;P61326-2;P61326;Q96A72,MGN2_HUMAN;MGN_HUMAN,MAGOH;MAGOHB,7,Protein mago nashi homolog,9148640,10455800,9342310,8817570,7119600,11300900,8477480,10477300,10053600,10381900,7850040,8340760
P14866,P14866,HNRPL_HUMAN,HNRNPL,15,Heterogeneous nuclear ribonucleoprotein L,10462900,10474700,10053200,10332700,9811260,6880560,8188130,7789520,6690670,8402700,11306400,9665650
Q9UKV3,E7EQT4;G3V3B0;Q9UKV3-2;Q9UKV3-3;Q9UKV3-5;S4R3H4;Q9UKV3,ACINU_HUMAN,ACIN1,40,Apoptotic chromatin condensation inducer in the nucleus,10032900,10824900,10021900,10267700,9858810,11276400,8577470,8803710,8936260,7374910,6246670,6525530
P35321,P22528;P35321,SPR1A_HUMAN,SPRR1A,4,Cornifin-A,3215560,2317400,3378790,24453000,10435800,6231470,3360900,7445720,2344300,8495880,20970300,15219600
Q7RTV0,Q7RTV0,PHF5A_HUMAN,PHF5A,7,PHD finger-like domain-containing protein 5A,4392420,5777960,4564680,8696590,8766570,9328060,7412000,8659870,8120960,11908400,14446800,14312400
Q99729-3,D6R9P3;D6RBZ0;D6RD18;Q99729-2;Q99729-3;Q99729-4;Q99729,ROAA-3_HUMAN,HNRNPAB,8,"Isoform of Q99729, Isoform 3 of Heterogeneous nuclear ribonucleoprotein A/B",5229970,7127540,4887840,6504350,8481850,9976640,8757990,10103900,10619800,8956980,10467100,11332000
P62273,A0A087WTT6;A0A2R8Y6P7;A0A2R8Y851;P62273-2;P62273,RS29_HUMAN,RPS29,4,40S ribosomal protein S29,4966180,5596450,5454440,5280870,7396550,4132530,11129500,12863500,12314400,7549490,13527600,12151500
P09661,H0YKK0;P09661,RU2A_HUMAN,SNRPA1,11,U2 small nuclear ribonucleoprotein A',9450480,9297170,9283380,10523700,7788610,7596580,6832770,5612450,4877290,8724440,11163600,10542200
P05141,V9GYG0;P05141;P12235;P12236;Q9H0C2,ADT2_HUMAN,SLC25A5,14,ADP/ATP translocase 2,10689500,9992820,10096400,7403190,6525900,6835590,8838580,8373800,8497610,8368980,7631020,8297750
Q14103;Q14103-3,H0Y8G5;H0YA96;Q14103-2;Q14103-3;Q14103-4;Q14103,HNRPD-3_HUMAN;HNRPD_HUMAN,HNRNPD,9,Heterogeneous nuclear ribonucleoprotein D0,6915140,7370300,6188460,7904880,8379400,6601020,7310640,8768250,8734680,10478000,12044200,10795200
P01876,A0A0G2JMB2;A0A286YEY1;A0A286YEY5;P01876;P01877,IGHA1_HUMAN,IGHA1,8,Immunoglobulin heavy constant alpha 1,165557,170552,689675,2176150,43668900,286746,142322,899996,49823100,386864,881479,1011070
O75477,O75477,ERLN1_HUMAN,ERLIN1,13,Erlin-1,9329780,8841310,8686520,7887800,8055470,7619490,9005400,8397590,9251460,7523610,7571990,7571170
P62987,B4DV12;F5GXK7;F5GYU3;F5H265;F5H2Z3;F5H388;F5H6Q2;F5H747;J3QKN0;J3QS39;J3QTR3;M0R1M6;M0R1V7;M0R2S1;Q49A90;Q5PY61;Q96C32;A0A2R8Y422;P0CG47;P0CG48;P62979;P62987,RL40_HUMAN,UBA52,6,Ubiquitin-60S ribosomal protein L40,7802200,6458390,6920620,16579600,8819850,6272930,5787250,7241330,6104820,10148700,9104630,8242220
Q99436,Q99436,PSB7_HUMAN,PSMB7,5,Proteasome subunit beta type-7,8280830,7592170,8324740,5280180,5302220,6246450,11064500,10294900,10826400,7781540,9651170,8751170
P08579,P08579,RU2B_HUMAN,SNRPB2,9,U2 small nuclear ribonucleoprotein B'',6851890,6992110,6258450,8017940,7742190,9157830,6509520,7048700,6518530,10384400,11081700,10158900
Q8N3R9;Q8N3R9-2,Q8N3R9-2;Q8N3R9,MPP5-2_HUMAN;MPP5_HUMAN,MPP5,8,MAGUK p55 subfamily member 5,18099100,16681000,18561900,3694930,6622410,,9650220,3691420,3126620,,8146520,7987190
Q9UQ35,Q9UQ35-2;Q9UQ35,SRRM2_HUMAN,SRRM2,81,Serine/arginine repetitive matrix protein 2,6759990,7758170,6903060,8552730,9237270,9637150,8928930,9720130,9425650,6796290,6156600,6042360
Q9P013,Q9P013,CWC15_HUMAN,CWC15,7,Spliceosome-associated protein CWC15 homolog,7218980,8089500,7480780,7201930,6996890,8532620,9096440,9289870,9103420,7616290,7578240,6870920
Q5T7N2,Q5T7N2,LITD1_HUMAN,L1TD1,50,LINE-1 type transposase domain-containing protein 1,9438260,9207870,9327000,8528120,8135020,7942020,8367690,8395470,8192460,5629790,5408220,5529490
Q86U42,A6NDY0-2;A6NDY0-4;B4DEH8;G3V4T2;Q86U42-2;Q92843-2;A6NDY0;Q86U42,PABP2_HUMAN,PABPN1,11,Polyadenylate-binding protein 2,8657200,7889350,7803980,6727090,6673470,6700540,6846130,7010340,7330320,7845480,9944630,8839300
P28066,P28066-2;P28066,PSA5_HUMAN,PSMA5,8,Proteasome subunit alpha type-5,7106550,6976850,6893880,5306680,5212820,5766510,10260600,8768300,9566250,8901670,7692180,7968020
Q15393,Q15393-3;Q15393,SF3B3_HUMAN,SF3B3,34,Splicing factor 3B subunit 3,7690000,7591640,7752950,9994820,9174260,6755290,5789430,5409540,4812570,7058030,9013150,9192030
P25788;P25788-2,G3V3W4;G3V5N4;P25788-2;P25788,PSA3-2_HUMAN;PSA3_HUMAN,PSMA3,13,Proteasome subunit alpha type-3,7643940,6800970,7688150,6576530,6334150,5695940,8888970,8830950,8862980,6680340,8294380,7397140
Q86YZ3,Q86YZ3,HORN_HUMAN,HRNR,24,Hornerin,1950930,2893100,5043810,20252600,23626000,5879510,3763650,5435740,2485890,5651910,9820140,2416490
P62310,P62310,LSM3_HUMAN,LSM3,2,U6 snRNA-associated Sm-like protein LSm3,6919210,7145880,5738840,6029270,8541440,5456570,5785170,8741700,8531570,8422310,9795830,7788770
O95777,F2Z2Y6;O95777,LSM8_HUMAN,LSM8,4,U6 snRNA-associated Sm-like protein LSm8,6918930,7947930,6100210,6774850,7277260,8116550,5333810,6624440,7112710,8464540,8999830,8871410
P15924,P15924-2;P15924-3;P15924,DESP_HUMAN,DSP,124,Desmoplakin,5210840,2528900,5464430,26958900,10120000,5547610,2971070,3887820,2134710,5728730,9777800,5563000
P04406,E7EUT5;P04406-2;P04406,G3P_HUMAN,GAPDH,9,Glyceraldehyde-3-phosphate dehydrogenase,6497880,3898640,4555140,14449600,7261990,3810670,5174290,6073290,4482570,5925040,16446500,7189120
P61254,E5RIT6;J3KS10;J3QQV1;J3QRC4;J3QRI7;J3QQQ9;P61254;Q9UNX3,RL26_HUMAN,RPL26,9,60S ribosomal protein L26,7921190,7909330,7281220,7171020,6891030,4766250,7863150,8688900,7112840,5338520,7059340,6401850
Q9BZL1,K7EQ43;Q9BZL1,UBL5_HUMAN,UBL5,4,Ubiquitin-like protein 5,6274880,8296910,6029050,5000300,5125160,5534630,4693060,7055160,7138810,9626600,10346900,9275350
Q15323,Q15323,K1H1_HUMAN,KRT31,23,"Keratin, type I cuticular Ha1",2638010,6875920,37692400,23238000,448889,143570,114450,4094640,143306,468743,5749090,2745010
Q13151,Q13151,ROA0_HUMAN,HNRNPA0,7,Heterogeneous nuclear ribonucleoprotein A0,6089270,6628630,5674640,6165870,6879740,8111330,6600030,7187040,7929760,7533000,7046920,8058210
P14678;P14678-2;P14678-3,P14678-2;P14678-3;P14678,RSMB-2_HUMAN;RSMB-3_HUMAN;RSMB_HUMAN,SNRPB,6,Small nuclear ribonucleoprotein-associated proteins B and B',12503400,10400600,11362400,5459210,5332380,2514260,5646910,4412940,5638710,6167760,6858130,7527210
P61978-3,P61978-2;P61978-3;Q5T6W2;P61978,HNRPK-3_HUMAN,HNRNPK,17,"Isoform of P61978, Isoform 3 of Heterogeneous nuclear ribonucleoprotein K",5361150,5856100,5363890,6794000,7000050,8911750,5798960,6000340,6803260,7625960,7788640,7882780
Q9UNZ5,Q9UNZ5,L10K_HUMAN,C19orf53,3,Leydig cell tumor 10 kDa protein homolog,6648370,7347490,5569090,6439950,4368100,6425240,8013620,8146160,6550270,4957970,8924620,7491720
P62316,K7ERG4;P62316,SMD2_HUMAN,SNRPD2,8,Small nuclear ribonucleoprotein Sm D2,7205680,7111060,7193060,4957330,5605430,5609320,6602970,6311070,6300240,7865820,8093140,7681290
Q6P2Q9,I3L0J9;Q6P2Q9,PRP8_HUMAN,PRPF8,75,Pre-mRNA-processing-splicing factor 8,7092780,6952410,6911230,7350130,7533210,6961120,5763700,5888730,5827980,6566370,6740840,6593440
Q15717;Q15717-2,Q15717-2;Q15717,ELAV1-2_HUMAN;ELAV1_HUMAN,ELAVL1,9,ELAV-like protein 1,5954610,6764390,6176000,7105780,7105330,6308510,5533530,5682350,4738210,7981790,7233730,8514230
