Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
A0A0U1RR11;A0A0U1RRI6;P0DPI3,A0A0U1RR11;A0A0U1RRI6;P0DPI3,CENL1_HUMAN;CENL2_HUMAN;CENL3_HUMAN,CENPVL1;CENPVL2;CENPVL3,Centromere protein V-like protein 1,2,,257402,201054,703530,605331,508118,308925,405449,380651,491189,414116,504013
A0A140T8Y5,A0A140T8Y5,A0A140T8Y5_HUMAN,DHX16,"Isoform of O60231, Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16",1,,,,1258140,491204,536456,735069,477080,442041,573367,696685,471009
A0A1B0GTE9;A0A1B0GTP1;A0A1B0GUR0,A0A1B0GTE9;A0A1B0GTP1;A0A1B0GUR0;A0A0G2JLL6,A0A1B0GTE9_HUMAN;A0A1B0GTP1_HUMAN;A0A1B0GUR0_HUMAN,PRRT2,"Isoform of Q7Z6L0, Proline-rich transmembrane protein 2",1,666112,634463,,681960,717723,559805,567334,696013,676557,668891,580160,614103
A0A1B0GTN9;A0A1B0GUM1;E9PKC0,A0A1B0GTN9;A0A1B0GUM1;E9PKC0,A0A1B0GTN9_HUMAN;A0A1B0GUM1_HUMAN;E9PKC0_HUMAN,PLEKHA7,"Isoform of Q6IQ23, Pleckstrin homology domain-containing family A member 7 (Fragment)",1,,,272794,107917,,,,,,,,
A0A1B0GVI3,A0A1B0GVI3,A0A1B0GVI3_HUMAN,KRT10,"Isoform of P13645, Keratin, type I cytoskeletal 10 (Fragment)",1,,,,,,,,,,,314133,518987
A0A1B0GW05,A0A1B0GW05,A0A1B0GW05_HUMAN,DPY19L1,"Isoform of Q2PZI1, Probable C-mannosyltransferase DPY19L1",2,552393,564679,548107,347443,361266,339772,417233,466311,451306,396200,393850,391514
A0A1W2PPA8;D3DNK7;D6RAK6;D6RJ01;J3KP02,A0A1W2PPA8;D3DNK7;D6RAK6;D6RJ01;J3KP02,A0A1W2PPA8_HUMAN;D3DNK7_HUMAN;D6RAK6_HUMAN;D6RJ01_HUMAN;J3KP02_HUMAN,LEKR1,"Isoform of Q6ZMV7, Leucine-, glutamate- and lysine-rich protein 1",1,169044,155323,,206199,267212,434003,,151225,138438,198056,262441,329775
A0A1W2PPD7,A0A1W2PPD7,A0A1W2PPD7_HUMAN,GLDC,"Isoform of P23378, Glycine dehydrogenase (decarboxylating), mitochondrial (Fragment)",1,,187023,289659,547704,557483,363934,479859,830096,910537,1038110,1049720,1144760
A0A1W2PQD4,A0A1W2PQD4,A0A1W2PQD4_HUMAN,HNRNPU,"Isoform of Q00839, Heterogeneous nuclear ribonucleoprotein U (Fragment)",1,,3214920,,3193780,3144540,4156060,,,3490800,,4682440,4017300
A0A1W2PS58;K7EPI4,A0A1W2PS58;K7EPI4,A0A1W2PS58_HUMAN;K7EPI4_HUMAN,GFAP,"Isoform of P14136, Glial fibrillary acidic protein (Fragment)",1,,,,,437701,,,517166,465399,466205,429885,400422
A0A2Q2TTZ9,A0A2Q2TTZ9,A0A2Q2TTZ9_HUMAN,IGKV1D-33,"Isoform of P01593, Immunoglobulin kappa variable 1-33",1,,,,115657,,,,,,,,298621
A0A2R8Y4X2;A0A2R8YD40;A0A2R8YFD8,A0A2R8Y4X2;A0A2R8YD40;A0A2R8YFD8,A0A2R8Y4X2_HUMAN;A0A2R8YD40_HUMAN;A0A2R8YFD8_HUMAN,CHD4,"Isoform of Q14839, Chromodomain-helicase-DNA-binding protein 4 (Fragment)",1,124094,,,180072,139620,168068,,151339,103829,215159,180645,152055
A0A2R8Y783,A0A2R8Y783,A0A2R8Y783_HUMAN,EPB41,"Isoform of P11171, Protein 4.1 (Fragment)",6,953789,1029080,1025430,878870,856254,877990,729450,997528,959269,763699,642723,716393
A0A2R8YEA7,A0A2R8YEA7,A0A2R8YEA7_HUMAN,ACTB,"Isoform of P60709, Actin, cytoplasmic 1 (Fragment)",2,709901,615272,740158,451880,405445,911579,245327,344723,374686,245620,231453,216856
A0A2R8YFE2,A0A2R8YFE2,A0A2R8YFE2_HUMAN,ACTB,"Isoform of P60709, Actin, cytoplasmic 1 (Fragment)",1,2127910,1960340,1814010,3064220,3436700,3289850,2705370,2729830,2950380,3070100,2771340,2821450
A0A2R8YFG2;A0A2R8YGL3,A0A2R8YFG2;A0A2R8YGL3,A0A2R8YFG2_HUMAN;A0A2R8YGL3_HUMAN,NMNAT3,"Isoform of Q96T66, Nicotinamide-nucleotide adenylyltransferase",1,,,,,,407899,,,,272805,1530340,495646
A0A3B3IRU2;A0A3B3ISH1,A0A3B3IRU2;A0A3B3ISH1,A0A3B3IRU2_HUMAN;A0A3B3ISH1_HUMAN,SNU13,"Isoform of P55769, NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae), isoform CRA_b",1,267155,,,417892,212053,235871,,680822,212050,502226,158680,565555
A0A3B3ISV4,A0A3B3ISV4,A0A3B3ISV4_HUMAN,VKORC1L1,"Isoform of Q8N0U8, Vitamin K epoxide reductase complex subunit 1-like protein 1",1,71713.6,140730,99028.7,82710.4,67867.3,120689,32856.3,92492.9,99780.4,58203.6,79209,66011.4
A0A3B3ITJ4,A0A3B3ITJ4,A0A3B3ITJ4_HUMAN,HNRNPL,"Isoform of P14866, Heterogeneous nuclear ribonucleoprotein L (Fragment)",2,1007260,1393330,1408570,1403900,1477400,1400090,916243,929828,917861,1017750,983131,988230
A0A494C0R8;I3L2B0,A0A494C0R8;I3L2B0,A0A494C0R8_HUMAN;I3L2B0_HUMAN,CLUH,"Isoform of O75153, Clustered mitochondria protein homolog",2,949858,936856,929880,978707,971622,1230420,1219200,939015,1059380,722593,600851,739089
A0AV96;A0AV96-2,A0AV96-2;D6R9D6;D6R9M7;D6RA49;D6RBP6;D6RBS9;D6RCT1;D6REZ6;D6RFL5;A0AV96,RBM47-2_HUMAN;RBM47_HUMAN,RBM47,RNA-binding protein 47,11,1418570,1387460,1517780,1157770,1195620,1147400,1108750,1406400,1357880,974680,1032520,983371
A0AVT1,A0AVT1-3;A0AVT1-4;A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,10,1608560,1623240,1486530,1386120,1416070,1519630,1469730,1212670,1257760,974888,1276330,969805
A0FGR8-2,A0A087WXU3;A0FGR8-2;A0FGR8-4;A0FGR8-6;H7BXI1;A0FGR8,ESYT2-2_HUMAN,ESYT2,"Isoform of A0FGR8, Isoform 2 of Extended synaptotagmin-2",23,1547110,1495400,1576310,1347580,1339530,1369960,1987980,2042600,2020680,1792900,1915240,1862460
A0MZ66;A0MZ66-3;A0MZ66-4,A0MZ66-3;A0MZ66-4;A0MZ66-5;A0MZ66-6;A0MZ66-7;A0MZ66-8;A0MZ66,SHOT1-3_HUMAN;SHOT1-4_HUMAN;SHOT1_HUMAN,SHTN1,Shootin-1,2,515777,197817,252566,357148,217817,407541,,231853,374232,155728,487667,212113
A0PJW6,A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,2,605259,571549,631209,633672,613491,702860,658406,696958,702092,694564,605400,668964
A1L020,A1L020,MEX3A_HUMAN,MEX3A,RNA-binding protein MEX3A,7,738661,760209,832090,989829,979418,977472,595108,493591,528207,528510,531461,549493
A1L0T0,E9PJS0;M0R026;M0R1B5;A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,15,2175040,2380970,2360190,2062620,1978480,1682780,1474570,2159920,2115600,2096130,2163300,2120920
A1L170;A1L170-2,A1L170-2;A1L170,CA226-2_HUMAN;CA226_HUMAN,C1orf226,Uncharacterized protein C1orf226,3,1461010,1183890,1115420,601402,645480,825531,802221,948940,760919,508708,495406,578082
A1L390;A1L390-3,A1L390-2;A1L390-3;G3V311;A1L390,PKHG3-3_HUMAN;PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,21,3241740,3339630,3565030,739990,790570,683435,987704,979538,968354,809087,670405,722049
A1X283,A0A1B0GUF2;G3V144;A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,12,1193260,1173510,1056450,1073800,1093350,1156760,951115,962145,1018050,736785,695694,730023
A1XBS5;A1XBS5-2,A0A087WTS3;A0A0B4J212;A1XBS5-2;A1XBS5-3;A1XBS5-4;A1XBS5-5;E5RGD0;E5RHK0;F8W7P5;H0YC32;A1XBS5,FA92A-2_HUMAN;FA92A_HUMAN,FAM92A,Protein FAM92A,1,,,,,,,,73898.7,79948,95420.4,,109361
A2AAZ0;Q5SU54;Q5Y7D6,A0A140T8Z1;A2AAY8;A2AAZ0;Q5SU54;Q5Y7D3;Q5Y7D6,A2AAZ0_HUMAN;Q5SU54_HUMAN;Q5Y7D6_HUMAN,HLA-DQB1,"Isoform of P01920, HLA class II histocompatibility antigen, DQ beta 1 chain",3,729532,598751,629053,641907,607164,643859,1133780,1001810,1076900,1074230,1040690,1071500
A2AJT9;A2AJT9-2;A2AJT9-3,A2AJT9-2;A2AJT9-3;A2AJT9,BCLA3-2_HUMAN;BCLA3-3_HUMAN;BCLA3_HUMAN,BCLAF3,BCLAF1 and THRAP3 family member 3,7,712097,726938,592432,1094060,1130920,994057,491652,526657,590344,569162,599213,623233
A2RRP1;A2RRP1-2,A2RRP1-2;H0Y5G7;A2RRP1,NBAS-2_HUMAN;NBAS_HUMAN,NBAS,Neuroblastoma-amplified sequence,11,875030,927912,971086,714464,531898,675761,890636,771945,761924,478399,571428,589290
A2RU67,Q69YM1;A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,4,305311,385815,323547,358934,363554,402201,447352,415185,487103,450622,517159,533549
A2VDJ0;A2VDJ0-3;A2VDJ0-5;A2VDJ0-6,A2VDJ0-2;A2VDJ0-3;A2VDJ0-5;A2VDJ0-6;H0Y2M0;A2VDJ0,T131L-3_HUMAN;T131L-5_HUMAN;T131L-6_HUMAN;T131L_HUMAN,TMEM131L,Transmembrane protein 131-like,4,347508,250864,265262,282916,,,307336,307484,234293,227228,234233,251141
A3KMH1;A3KMH1-3,A3KMH1-2;A3KMH1-3;A3KMH1,VWA8-3_HUMAN;VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,19,1712690,1584040,1717030,1457230,1418970,1387200,1936020,1885190,1928950,1690850,1804750,1737790
A3KN83;A3KN83-2;A3KN83-3,A3KN83-2;A3KN83-3;A3KN83-4;K7ES28;Q9Y2G9-3;A3KN83;Q9Y2G9,SBNO1-2_HUMAN;SBNO1-3_HUMAN;SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,5,320021,291551,287573,361154,329488,317451,268279,315132,246334,462859,397421,253978
A4D0S4;A4D0S4-2;A4D0S4-3,A4D0S4-2;A4D0S4-3;C9JMJ0;A4D0S4,LAMB4-2_HUMAN;LAMB4-3_HUMAN;LAMB4_HUMAN,LAMB4,Laminin subunit beta-4,1,341033,280432,253086,,109568,,111706,136881,182069,111353,,130101
A4D0V7;A4D0V7-2,A4D0V7-2;E7ENG7;E9PCC8;G5E9U2;A4D0V7,CPED1-2_HUMAN;CPED1_HUMAN,CPED1,Cadherin-like and PC-esterase domain-containing protein 1,1,220237,160236,217651,225776,251241,196510,,214654,236469,173612,,167124
A4D1E9,A4D1E9-2;A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,9,1218740,1196950,1209860,1109540,1086660,1008680,1092700,1256040,1178140,1252420,1341250,1211110
A4D1P6;A4D1P6-2,A4D1P6-2;C9J1X0;A4D1P6,WDR91-2_HUMAN;WDR91_HUMAN,WDR91,WD repeat-containing protein 91,1,,207105,359864,290597,305809,256335,310692,270765,374906,344918,435658,268635
A4D1S0;A4D1S0-2,A4D1S0-2;A4D1S0,KLRG2-2_HUMAN;KLRG2_HUMAN,KLRG2,Killer cell lectin-like receptor subfamily G member 2,4,,,,,,,1250370,914754,892123,887435,756961,604984
A4D1S5,C9JJQ5;A4D1S5,RAB19_HUMAN,RAB19,Ras-related protein Rab-19,2,555707,560805,647118,555039,631141,652191,631236,728845,767728,738178,731784,820154
A4D2P6,C9J5F6;C9JNS8;A4D2P6,GRD2I_HUMAN,GRID2IP,Delphilin,2,,671152,636645,600177,587721,487409,,558040,826302,,656803,
A4UGR9;A4UGR9-2;A4UGR9-3;A4UGR9-8,A4UGR9-2;A4UGR9-3;A4UGR9-8;A4UGR9,XIRP2-2_HUMAN;XIRP2-3_HUMAN;XIRP2-8_HUMAN;XIRP2_HUMAN,XIRP2,Xin actin-binding repeat-containing protein 2,1,251710,213987,241640,185576,216705,221476,395364,238716,237158,271506,248913,281712
A5D8V6,F5H4Q5;A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,2,204910,239814,286845,283950,255691,483676,233841,295713,263630,268886,,374886
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5,A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9,TPC13-2_HUMAN;TPC13-4_HUMAN;TPC13-5_HUMAN;TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,4,917551,809193,896795,990823,958838,1091720,703353,812996,626649,676717,576841,562124
A5YKK6,A5YKK6-2;A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,46,2025080,1988850,1937950,1990600,1966710,1984380,1842150,1833880,1784920,1558500,1631520,1526950
A6NC98;A6NC98-4,A6NC98-2;A6NC98-4;A6NC98,CC88B-4_HUMAN;CC88B_HUMAN,CCDC88B,Coiled-coil domain-containing protein 88B,1,65376.4,52416.5,,133641,83319.2,125816,,84543.3,,137133,118887,123840
A6NCE7;Q9GZQ8,H3BTL1;Q9H492-2;A6NCE7;Q9GZQ8;Q9H492,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,3,1711490,1617180,1603070,1848460,1918390,1997540,1854140,1692760,1643010,1478940,1622280,1504340
A6NDB9,A6NDB9,PALM3_HUMAN,PALM3,Paralemmin-3,11,637733,696330,577136,707332,554078,601458,507195,842075,862363,746394,889097,896164
A6NDG6,H3BV17;A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,11,3201610,3212990,3241880,3236090,3357470,3021420,2738060,2642820,2653400,1901580,1939480,1899680
A6NDU8,A0A0C4DGW6;A6NDU8,CE051_HUMAN,C5orf51,UPF0600 protein C5orf51,1,221247,172344,188084,430719,338145,214764,349272,294721,326418,198430,214113,209470
A6NGN9,A6NGN9,IGLO5_HUMAN,IGLON5,IgLON family member 5,2,412335,334788,326010,228959,195874,187980,,221401,233378,198457,,
A6NHR9;A6NHR9-2,A6NHR9-2;J3KTL8;J3QSH1;A6NHR9,SMHD1-2_HUMAN;SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,42,1096240,1028330,1052480,1240060,1291190,1317040,1028820,1036200,1049000,1428110,1518310,1460550
A6NI56;A6NI56-2,A6NI56-2;B7ZBA8;H3BS06;A6NI56,CC154-2_HUMAN;CC154_HUMAN,CCDC154,Coiled-coil domain-containing protein 154,1,4748320,5084950,5366340,4008050,4280760,4077310,6602630,6318920,5025420,4833520,3846830,4919280
A6NIH7,C9JSK0;K7EJU3;K7EN86;Q13432-2;A6NIH7;Q13432,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,5,1122880,1382950,1462610,1397410,1369000,1514460,836529,886505,966591,964717,980606,881917
A6NJ78,A6NJ78,MET15_HUMAN,METTL15,Probable methyltransferase-like protein 15,3,423754,452249,441301,352951,397085,431443,227128,337260,304187,314620,340095,353958
A6NKD9,G3V4C8;H0YJE0;H0YJY5;A6NKD9,CC85C_HUMAN,CCDC85C,Coiled-coil domain-containing protein 85C,1,90068.3,117338,79073.8,55048.7,54785.4,56146.4,,85487.3,64756.9,,41802.4,
A6NKT7,J3KNE0;A6NKT7;Q7Z3J3,RGPD3_HUMAN,RGPD3,RanBP2-like and GRIP domain-containing protein 3,1,,,,2147530,,2217120,2983090,,,2470500,2665730,2430930
A6ZKI3;Q9BWD3,A6ZKI3;Q9BWD3,RTL8A_HUMAN;RTL8C_HUMAN,RTL8A;RTL8C,"Isoform of O15255, Retrotransposon Gag-like protein 8B",1,799337,565492,464275,472811,421449,435758,399627,,313508,,,
A8CG34,A0A0J9YWR1;A8CG34-2;C9J370;C9JER0;Q6PJE2-5;Q96HA1-2;Q96HA1-3;A8CG34;Q6PJE2;Q96HA1,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,17,1870190,1737800,1668070,1565210,1583540,1633790,1213680,1511880,1501320,1458450,1553560,1492210
A8K2U0,A8K2U0,A2ML1_HUMAN,A2ML1,Alpha-2-macroglobulin-like protein 1,2,,,,357227,,,,,,,807979,
A8MTY0,Q14593-2;A0A087WUU8;A8MTY0;P17019;Q14593,ZN724_HUMAN,ZNF724,Zinc finger protein 724,1,,394169,530169,655903,543135,461920,466117,583942,780312,871119,954534,803598
A8MWD9;P62308,C9JVQ0;F5H013;Q49AN9;A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,5,9824510,12001400,13430000,15599700,15041200,12967400,18474700,12817800,11597100,12948200,11174100,13120700
A8MXP9;Q68E03,A8MXP9;Q68E03,A8MXP9_HUMAN;Q68E03_HUMAN,MATR3,"Isoform of P43243, Matrin-3",1,233365,236505,292203,302241,348454,245966,,302447,378205,244536,438938,273696
A9Z1X7;M0R088,A9Z1X7;M0R088,A9Z1X7_HUMAN;M0R088_HUMAN,SRRM1,"Isoform of Q8IYB3, Serine/arginine repetitive matrix protein 1",1,,,,137060,179931,212946,,103145,94358.7,245183,188542,160121
B1AK53;B1AK53-2,A0A0A0MSQ4;A0A0J9YWQ8;A0A0J9YY76;A0A1B0GUS9;A0A2R8YG57;B1AK53-2;H0Y7L4;B1AK53,ESPN-2_HUMAN;ESPN_HUMAN,ESPN,Espin,1,203725,216902,216007,211090,231442,181831,,,,,,
B1ANS9;B1ANS9-2,B1ANS9-2;B1ANS9,WDR64-2_HUMAN;WDR64_HUMAN,WDR64,WD repeat-containing protein 64,1,10329900,9578350,10112900,9646830,9722860,8906910,9424730,8210400,7641950,6354800,6423080,6324510
B4DQA8;E9PCW1,B4DQA8;E9PCW1,B4DQA8_HUMAN;E9PCW1_HUMAN,GOSR1,"Isoform of O95249, Golgi SNAP receptor complex member 1",1,506359,485569,464438,390615,371960,407041,,605385,672398,524043,502369,584971
B5MCX3,A0A0U1RRE1;A0A0U1RRH9;B5MCX3;B5MD47;C9IY94;C9J2Q4,B5MCX3_HUMAN,SEPTIN2,"Isoform of Q15019, Septin 2",2,962389,,980041,1052090,1201540,1209230,,,,,975944,1008740
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08,B7ZAQ6-2;B7ZAQ6-3;B7ZAQ6;P0CG08,GPHRA-2_HUMAN;GPHRA-3_HUMAN;GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,6,1251180,1330460,1115330,999450,1263700,1118510,1439350,1148370,1150730,1077670,1177740,1131950
B7ZW38;O60812;P0DMR1,A0A0G2JPF8;B7ZW38;O60812;P0DMR1,HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN,HNRNPCL1;HNRNPCL3;HNRNPCL4,Heterogeneous nuclear ribonucleoprotein C-like 3,1,497495,681916,555671,315554,339638,232593,956853,529436,346604,321980,418697,313934
B8ZZA8;C9JIJ6,B8ZZA8;C9JIJ6,B8ZZA8_HUMAN;C9JIJ6_HUMAN,GLS,"Isoform of O94925, Glutaminase kidney isoform, mitochondrial",1,536151,,,378099,550603,379914,361251,373814,327143,217021,398623,
